action,title,body,labels
closed,error runing etlas repl in a project with java source files,"""* trying to run `etlas repl` in `wai-servlet` i got this error:\r\n```\r\ntarget �java\\utils.java� is not a module name or a source file\r\nprelude>\r\n```\r\n* the repl starts with no modules loaded (and you cant load them with :m)""",bug
closed,problems creating xmp files,"""i try to create some xmp data with exiv2 (version 0.27.0 - build msvc64 libs), but failing. i created in visual studio 2017 an short test, based on the example at http://www.exiv2.org/doc/xmpsample_8cpp-example.html \r\n\r\n``` c++\r\n#include \""pch.h\""\r\n\r\n#include <exiv2/exiv2.hpp>\r\n\r\n#include <string>\r\n#include <iostream>\r\n\r\nint main()\r\n{\r\n    try {\r\n\r\n        exiv2::xmpdata xmpdata;\r\n        xmpdata[\""xmp.dc.source\""] = \""xmpsample.cpp\"";    // a simple text value\r\n        xmpdata[\""xmp.dc.subject\""] = \""palmtree\"";         // an array item\r\n    }\r\n    catch (exiv2::anyerror& e) {\r\n        std::cout << \""caught exiv2 exception '\"" << e << \""'\\n\"";\r\n        return -1;\r\n    }\r\n}\r\n```\r\n\r\n\r\n... but this fails with\r\n\r\n>     caught exiv2 exception 'invalid key '\r\n\r\nif i try to add exiv2::xmpproperties::registerns(\""http://purl.org/dc/elements/1.1/\"", \""dc\""); the program fails with an\r\n\r\n>     std::bad alloc\r\n\r\nexception at this line\r\n\r\ni just don't see what i'm doing wrong here? """,not reproducible
closed,npm install web3js error on windows,"""i am trying to install web3 using command\r\n\r\n`npm install --save web3@1.0.0-beta.26`  however i am getting error-\r\n`verbose node v8.9.1\r\nverbose npm  v4.6.1\r\n error code 128\r\n error command failed: git -c core.longpaths=true rev-list -n1 browserifycompatible\r\n error fatal: ambiguous argument 'browserifycompatible': unknown revision or path not in the working tree.\r\n error use '--' to separate paths from revisions, like this:\r\n error 'git <command> [<revision>...] -- [<file>...]' `\r\n\r\ni have tried starting cmd with admin privileges and executing from git bash. any inputs will be highly appreciated.""",support
closed,improvements to default layout,""" the default layout needs to be changed in the following way:\r\n- [x] stats widget removed from layout, as it slows down animations\r\n- [x] log widget removed from layout, as it's not needed by default\r\n- [x] default layout for screens with a certain cutoff height (720px?) should group animator and region list in a single tab\r\n- [x] spectral and histogram widgets should have their region and stokes selectors shown in a row above the graph, rather than in the settings panel""",enhancement
closed,sticky side navigation are weird in ampproject org,"""## description of the issue found on ampproject.org\r\n- https://www.ampproject.org/docs/fundamentals/spec\r\n\r\n## how do we reproduce the issue?\r\n1. scrolling down\r\n2. side navigation will get sticky\r\n3. side navigation have space \r\n\r\n### what browser are you using?\r\ngoogle chrome version 70.0.3501.0 (official build) canary (64-bit)\r\n\r\n### what o/s are you using?\r\nmac os high sierra version 10.13.2 (17c88)\r\n\r\n## screenshot\r\n![image](https://user-images.githubusercontent.com/6267393/43232871-0b481a0a-90ae-11e8-9fa2-272fefd4635f.png)\r\n""",category
closed,backtest report enhancement add profitability for human readability,"""backtest rather accurately reports avg % and number of trades. \r\nthis somewhat obfuscates from how profitable the backtest has been. \r\n\r\nas example:  \""109 trades : avg prf 5.334% \""\r\ncan also be written as *$581% profitable  - which may be of interest and benefit to users. \r\n\r\n* assuming no parallel trades needed. \r\n\r\n\r\n\r\n\r\n## step 1: have you search for this issue before posting it?\r\n\r\nif you have discovered a bug in the bot, please [search our issue tracker](https://github.com/freqtrade/freqtrade/issues?q=is%3aissue). \r\nif it hasn't been reported, please create a new issue.\r\n\r\n## step 2: describe your environment\r\n\r\n  * python version: _____ (`python -v`)\r\n  * ccxt version: _____ (`pip freeze | grep ccxt`)\r\n  * branch: master | develop\r\n  * last commit id: _____ (`git log --format=\""%h\"" -n 1`)\r\n  \r\n## step 3: describe the problem:\r\n\r\n*explain the problem you have encountered*\r\n\r\n### steps to reproduce:\r\n\r\n  1. _____\r\n  2. _____\r\n  3. _____\r\n  \r\n### observed results:\r\n\r\n  * what happened?\r\n  * what did you expect to happen?\r\n\r\n### relevant code exceptions or logs:\r\n\r\n  ```\r\n  // paste your log here\r\n  ```\r\n""",good first issue
closed,integrate fuchsia core sdk into flutter tool,"""download the sdk so we can make use of it""",new feature
closed,cgmes reactive capability point with duplicate points,"""* **do you want to request a *feature* or report a *bug*?**\r\nbug\r\n\r\n\r\n* **what is the current behavior?**\r\nfirst we need to check if it is supported in cgmes spec. here is the exception we get when there is 2 differents reactive ranges for the same active power value:\r\n```java\r\ncom.powsybl.iidm.network.impl.validationexception: generator 'xxx': a point already exists for active power 18.8 with a different reactive power range: [-11.28, 30.9] != [-4.7, 4.7]\r\n```\r\n\r\n* **if the current behavior is a bug, please provide the steps to reproduce and if possible a minimal demo of the problem**\r\nsimply create a test case with a generator and a reactive capability with 2 points with a different reactive range.\r\n\r\n\r\n* **what is the expected behavior?**\r\njust keep first????\r\n\r\n\r\n* **what is the motivation / use case for changing the behavior?**\r\nthere is real data with such reactive capability curve.\r\n\r\n\r\n* **please tell us about your environment:**\r\n  - powsybl version: 2.5.0-snapshot\r\n  - os version: ...\r\n\r\n* **other information** (e.g. detailed explanation, stacktraces, related issues, suggestions how to fix, links for us to have context, eg. stackoverflow, spectrum, etc)\r\n\r\n(if a question doesn't apply, you can delete it)\r\n""",bug
closed,object storage,"""implementare l'object storage sull'archivio.\r\nes. openstack swift.""",enhancement
closed,show an alert when trying to log in with the wrong information,"""if you try to log in, but provide wrong information, the system should inform the user that the information is incorrect.""",type refactor
